name	date	schedule
Anesthesia_1_	07-01-2025	1A Brancati-B DAY
Anesthesia_1_	07-02-2025	1A Brancati-B OFF
Anesthesia_1_	07-03-2025	1A Brancati-B DAY
Anesthesia_1_	07-04-2025	1A Brancati-B DAY
Anesthesia_1_	07-05-2025	1A Brancati-B DAY
Anesthesia_1_	07-06-2025	1A Brancati-B DAY
Anesthesia_1_	07-07-2025	1A Brancati-B OFF
Anesthesia_1_	07-08-2025	1A Brancati-B DAY
Anesthesia_1_	07-09-2025	1A Brancati-B NIGHT
Anesthesia_1_	07-10-2025	1A Brancati-B NIGHT
Anesthesia_1_	07-11-2025	1A Brancati-B NIGHT
Anesthesia_1_	07-12-2025	1A Brancati-B NIGHT
Anesthesia_1_	07-13-2025	1B Brancati-B DAY
Anesthesia_1_	07-14-2025	1B Brancati-B OFF
Anesthesia_1_	07-15-2025	1B Brancati-B DAY
Anesthesia_1_	07-16-2025	1B Brancati-B DAY
Anesthesia_1_	07-17-2025	1B Brancati-B DAY
Anesthesia_1_	07-18-2025	1B Brancati-B DAY
Anesthesia_1_	07-19-2025	1B Brancati-B DAY
Anesthesia_1_	07-20-2025	1B Brancati-B OFF
Anesthesia_1_	07-21-2025	1B Brancati-B NIGHT
Anesthesia_1_	07-22-2025	1B Brancati-B NIGHT
Anesthesia_1_	07-23-2025	1B Brancati-B NIGHT
Anesthesia_1_	07-24-2025	1B Brancati-B *POST
Anesthesia_1_	07-24-2025	2A Brancati-B DAY
Anesthesia_1_	07-25-2025	2A Brancati-B DAY
Anesthesia_1_	07-26-2025	2A Brancati-B DAY
Anesthesia_1_	07-27-2025	2A Brancati-B DAY
Anesthesia_1_	07-28-2025	2A Brancati-B DAY
Anesthesia_1_	07-29-2025	2A Brancati-B DAY
Anesthesia_1_	07-30-2025	2A Brancati-B OFF
Anesthesia_1_	07-31-2025	2A Brancati-B DAY
Anesthesia_1_	08-01-2025	2A Brancati-B DAY
Anesthesia_1_	08-02-2025	2A Brancati-B DAY
Anesthesia_1_	08-03-2025	2A Brancati-B OFF
Anesthesia_1_	08-04-2025	2A Brancati-B NIGHT
Anesthesia_1_	08-05-2025	2A Brancati-B NIGHT
Anesthesia_1_	08-06-2025	2A Brancati-B NIGHT
Anesthesia_1_	08-07-2025	2A Brancati-B *POST
Anesthesia_1_	08-07-2025	2B Brancati-B DAY
Anesthesia_1_	08-08-2025	2B Brancati-B DAY
Anesthesia_1_	08-09-2025	2B Brancati-B DAY
Anesthesia_1_	08-10-2025	2B Brancati-B DAY
Anesthesia_1_	08-11-2025	2B Brancati-B DAY
Anesthesia_1_	08-12-2025	2B Brancati-B DAY
Anesthesia_1_	08-13-2025	2B Brancati-B OFF
Anesthesia_1_	08-14-2025	2B Brancati-B DAY
Anesthesia_1_	08-15-2025	2B Brancati-B DAY
Anesthesia_1_	08-16-2025	2B Brancati-B DAY
Anesthesia_1_	08-17-2025	2B Brancati-B OFF
Anesthesia_1_	08-18-2025	2B Brancati-B NIGHT
Anesthesia_1_	08-19-2025	2B Brancati-B NIGHT
Anesthesia_1_	08-20-2025	2B Brancati-B NIGHT
Anesthesia_1_	08-21-2025	2B Brancati-B *POST
Anesthesia_1_	08-21-2025	3A Brancati-B DAY
Anesthesia_1_	08-22-2025	3A Brancati-B DAY
Anesthesia_1_	08-23-2025	3A Brancati-B DAY
Anesthesia_1_	08-24-2025	3A Brancati-B DAY
Anesthesia_1_	08-25-2025	3A Brancati-B DAY
Anesthesia_1_	08-26-2025	3A Brancati-B DAY
Anesthesia_1_	08-27-2025	3A Brancati-B OFF
Anesthesia_1_	08-28-2025	3A Brancati-B DAY
Anesthesia_1_	08-29-2025	3A Brancati-B DAY
Anesthesia_1_	08-30-2025	3A Brancati-B DAY
Anesthesia_1_	08-31-2025	3A Brancati-B OFF
Anesthesia_1_	09-01-2025	3A Brancati-B NIGHT
Anesthesia_1_	09-02-2025	3A Brancati-B NIGHT
Anesthesia_1_	09-03-2025	3A Brancati-B NIGHT
Anesthesia_1_	09-04-2025	3A Brancati-B *POST
Anesthesia_1_	09-04-2025	3B Brancati-B DAY
Anesthesia_1_	09-05-2025	3B Brancati-B DAY
Anesthesia_1_	09-06-2025	3B Brancati-B DAY
Anesthesia_1_	09-07-2025	3B Brancati-B DAY
Anesthesia_1_	09-08-2025	3B Brancati-B DAY
Anesthesia_1_	09-09-2025	3B Brancati-B DAY
Anesthesia_1_	09-10-2025	3B Brancati-B OFF
Anesthesia_1_	09-11-2025	3B Brancati-B DAY
Anesthesia_1_	09-12-2025	3B Brancati-B DAY
Anesthesia_1_	09-13-2025	3B Brancati-B DAY
Anesthesia_1_	09-14-2025	3B Brancati-B OFF
