name	date	schedule
ED_CCU	07-01-2024	1A  -
ED_CCU	07-02-2024	1A  -
ED_CCU	07-03-2024	1A  -
ED_CCU	07-04-2024	1A  -
ED_CCU	07-05-2024	1A  -
ED_CCU	07-06-2024	1A  -
ED_CCU	07-07-2024	1A  -
ED_CCU	07-08-2024	1A  -
ED_CCU	07-09-2024	1A  -
ED_CCU	07-10-2024	1A  -
ED_CCU	07-11-2024	1B  -
ED_CCU	07-12-2024	1B  -
ED_CCU	07-13-2024	1B  -
ED_CCU	07-14-2024	1B  -
ED_CCU	07-15-2024	1B  -
ED_CCU	07-16-2024	1B  -
ED_CCU	07-17-2024	1B  -
ED_CCU	07-18-2024	1B  -
ED_CCU	07-19-2024	1B  -
ED_CCU	07-20-2024	1B  -
ED_CCU	07-21-2024	1B  -
ED_CCU	07-22-2024	1B  -
ED_CCU	07-23-2024	1B  -
ED_CCU	07-24-2024	1B  -
ED_CCU	07-25-2024	2A CCU-B POST
ED_CCU	07-26-2024	2A CCU-B OFF
ED_CCU	07-27-2024	2A CCU-B CALL
ED_CCU	07-28-2024	2A CCU-B POST
ED_CCU	07-29-2024	2A CCU-B GOOD
ED_CCU	07-30-2024	2A CCU-B CALL
ED_CCU	07-31-2024	2A CCU-B POST
ED_CCU	08-01-2024	2A CCU-B OFF
ED_CCU	08-02-2024	2A CCU-B CALL
ED_CCU	08-03-2024	2A CCU-B POST
ED_CCU	08-04-2024	2A CCU-B GOOD
ED_CCU	08-05-2024	2A CCU-B CALL
ED_CCU	08-06-2024	2A CCU-B POST
ED_CCU	08-07-2024	2A CCU-B OFF
ED_CCU	08-08-2024	2B CCU-C CALL
ED_CCU	08-09-2024	2B CCU-C POST
ED_CCU	08-10-2024	2B CCU-C GOOD
ED_CCU	08-11-2024	2B CCU-C CALL
ED_CCU	08-12-2024	2B CCU-C POST
ED_CCU	08-13-2024	2B CCU-C OFF
ED_CCU	08-14-2024	2B CCU-C CALL
ED_CCU	08-15-2024	2B CCU-C POST
ED_CCU	08-16-2024	2B CCU-C GOOD
ED_CCU	08-17-2024	2B CCU-C CALL
ED_CCU	08-18-2024	2B CCU-C POST
ED_CCU	08-19-2024	2B CCU-C OFF
ED_CCU	08-20-2024	2B CCU-C CALL
ED_CCU	08-21-2024	2B CCU-C POST
ED_CCU	08-22-2024	3A CCU-A OFF
ED_CCU	08-23-2024	3A CCU-A CALL
ED_CCU	08-24-2024	3A CCU-A POST
ED_CCU	08-25-2024	3A CCU-A GOOD
ED_CCU	08-26-2024	3A CCU-A CALL
ED_CCU	08-27-2024	3A CCU-A POST
ED_CCU	08-28-2024	3A CCU-A OFF
ED_CCU	08-29-2024	3A CCU-A CALL
ED_CCU	08-30-2024	3A CCU-A POST
ED_CCU	08-31-2024	3A CCU-A GOOD
ED_CCU	09-01-2024	3A CCU-A CALL
ED_CCU	09-02-2024	3A CCU-A POST
ED_CCU	09-03-2024	3A CCU-A OFF
ED_CCU	09-04-2024	3A CCU-A CALL
ED_CCU	09-05-2024	3A CCU-A *POST
ED_CCU	09-05-2024	3B CCU-B POST
ED_CCU	09-06-2024	3B CCU-B GOOD
ED_CCU	09-07-2024	3B CCU-B CALL
ED_CCU	09-08-2024	3B CCU-B POST
ED_CCU	09-09-2024	3B CCU-B OFF
ED_CCU	09-10-2024	3B CCU-B CALL
ED_CCU	09-11-2024	3B CCU-B POST
ED_CCU	09-12-2024	3B CCU-B GOOD
ED_CCU	09-13-2024	3B CCU-B CALL
ED_CCU	09-14-2024	3B CCU-B POST
ED_CCU	09-15-2024	3B CCU-B OFF
ED_CCU	09-16-2024	3B CCU-B CALL
ED_CCU	09-17-2024	3B CCU-B POST
ED_CCU	09-18-2024	3B CCU-B OFF
ED_CCU	09-19-2024	4A CCU-A OFF
ED_CCU	09-20-2024	4A CCU-A CALL
ED_CCU	09-21-2024	4A CCU-A POST
ED_CCU	09-22-2024	4A CCU-A GOOD
ED_CCU	09-23-2024	4A CCU-A CALL
ED_CCU	09-24-2024	4A CCU-A POST
ED_CCU	09-25-2024	4A CCU-A OFF
ED_CCU	09-26-2024	4A CCU-A CALL
ED_CCU	09-27-2024	4A CCU-A POST
ED_CCU	09-28-2024	4A CCU-A GOOD
ED_CCU	09-29-2024	4A CCU-A CALL
ED_CCU	09-30-2024	4A CCU-A POST
ED_CCU	10-01-2024	4A CCU-A OFF
ED_CCU	10-02-2024	4A CCU-A CALL
ED_CCU	10-03-2024	4A CCU-A *POST
ED_CCU	10-03-2024	4B CCU-B POST
ED_CCU	10-04-2024	4B CCU-B GOOD
ED_CCU	10-05-2024	4B CCU-B CALL
ED_CCU	10-06-2024	4B CCU-B POST
ED_CCU	10-07-2024	4B CCU-B OFF
ED_CCU	10-08-2024	4B CCU-B CALL
ED_CCU	10-09-2024	4B CCU-B POST
ED_CCU	10-10-2024	4B CCU-B GOOD
ED_CCU	10-11-2024	4B CCU-B CALL
ED_CCU	10-12-2024	4B CCU-B POST
ED_CCU	10-13-2024	4B CCU-B OFF
ED_CCU	10-14-2024	4B CCU-B CALL
ED_CCU	10-15-2024	4B CCU-B POST
ED_CCU	10-16-2024	4B CCU-B OFF
